rank,processor,rating,antutu10,geekbench6,cores,clock,gpu,company,processor_key
149,Snapdragon 835,29 C,368607,415 / 1508,8 (4+4),2450 MHz,Adreno 540,Qualcomm,snapdragon 835
150,Snapdragon 712,28 C,311741,446 / 1436,8 (2+6),2300 MHz,Adreno 616,Qualcomm,snapdragon 712
151,Snapdragon 675,28 C,314867,671 / 1695,8 (2+6),2000 MHz,Adreno 612,Qualcomm,snapdragon 675
152,Exynos 8895,28 C,372105,418 / 1429,8 (4+4),2314 MHz,Mali-G71 MP20,Samsung,exynos 8895
153,Tiger T620,27 C,332915,497 / 1541,8 (2+6),2200 MHz,Mali-G57 MP1,Unisoc,tiger t620
154,Helio P95,27 C,299534,456 / 1541,8 (2+6),2200 MHz,PowerVR GM9446,MediaTek,helio p95
155,Kirin 970,27 C,353467,383 / 1373,8 (4+4),2360 MHz,Mali-G72 MP12,Huawei,kirin 970
156,Snapdragon 710,27 C,298526,445 / 1352,8 (2+6),2200 MHz,Adreno 616,Qualcomm,snapdragon 710
157,Helio G92 Max,26 C,268440,441 / 1407,8 (2+6),2000 MHz,Mali-G52 MP2,MediaTek,helio g92 max
158,Helio G81,26 C,259076,420 / 1391,8 (2+6),2000 MHz,Mali-G52 MP2,MediaTek,helio g81
159,Helio G91,26 C,274560,405 / 1407,8 (2+6),2000 MHz,Mali-G52 MP2,MediaTek,helio g91
160,Tiger T618,26 C,281958,469 / 1456,8 (2+6),2000 MHz,Mali-G52 MP2,Unisoc,tiger t618
161,Apple A9,26 C,332764,619 / 953,2 (2),1850 MHz,PowerVR GT7600,Apple,a9
162,Snapdragon 670,26 C,250172,381 / 1239,8 (2+6),2000 MHz,Adreno 615,Qualcomm,snapdragon 670
163,Helio P90,26 C,300868,414 / 1373,8 (2+6),2200 MHz,PowerVR GM9446,MediaTek,helio p90
164,Tiger T615,25 C,258142,441 / 1454,8 (2+6),1800 MHz,Mali-G57 MP1,Unisoc,tiger t615
165,Tiger T612,25 C,244837,422 / 1509,8 (2+6),1800 MHz,Mali-G57 MP1,Unisoc,tiger t612
166,Tiger T616,25 C,292658,452 / 1503,8 (2+6),2000 MHz,Mali-G57 MP1,Unisoc,tiger t616
167,Helio G88,25 C,268860,425 / 1355,8 (2+6),2000 MHz,Mali-G52 MP2,MediaTek,helio g88
168,Tiger T700,25 C,260484,429 / 1434,8 (2+6),1820 MHz,Mali-G52 MP2,Unisoc,tiger t700
169,Helio G85,25 C,262684,413 / 1332,8 (2+6),2000 MHz,Mali-G52 MP2,MediaTek,helio g85
170,Snapdragon 662,25 C,247842,339 / 1208,8 (4+4),2000 MHz,Adreno 610,Qualcomm,snapdragon 662
171,Helio G80,25 C,247741,416 / 1354,8 (2+6),2000 MHz,Mali-G52 MP2,MediaTek,helio g80
172,Helio G70,25 C,246700,417 / 1345,8 (2+6),2000 MHz,Mali-G52 MP2,MediaTek,helio g70
173,Snapdragon 665,25 C,235828,335 / 1166,8 (4+4),2000 MHz,Adreno 610,Qualcomm,snapdragon 665
174,Unisoc T606,24 D,246105,371 / 1391,8 (2+6),1600 MHz,Mali-G57 MP1,Unisoc,t606
175,Tiger T610,24 D,250277,418 / 1305,8 (2+6),1820 MHz,Mali-G52 MP2,Unisoc,tiger t610
176,Snapdragon 460,24 D,196586,272 / 992,8 (4+4),1800 MHz,Adreno 610,Qualcomm,snapdragon 460
177,Kirin 710F,24 D,251249,352 / 1244,8 (4+4),2200 MHz,Mali-G51 MP4,Huawei,kirin 710f
178,Helio P65,24 D,212236,375 / 1186,8 (2+6),2000 MHz,Mali-G52 MP2,MediaTek,helio p65
179,Exynos 9611,24 D,257150,370 / 1103,8 (4+4),2300 MHz,Mali-G72 MP3,Samsung,exynos 9611
180,Kirin 710A,23 D,238420,319 / 1125,8 (4+4),2000 MHz,Mali-G51 MP4,Huawei,kirin 710a
